ts_utc,symbol,round_id,poll_price,ws_price,price_delta,chain_updated_at,poll_wall_ts,ws_wall_ts,poll_lag_s,ws_lag_s,delta_ms,faster
2026-03-31T10:34:36,BTC,55340232221132071827,66291.78,66291.78,0.0,1774953253,1774953274.9818203,1774953276.1087558,21.982,23.109,1126.9,poll
2026-03-31T10:34:36,ETH,55340232221132099756,2024.40036462,2024.40036462,0.0,1774953243,1774953274.981271,1774953276.1087558,31.981,33.109,1127.5,poll
2026-03-31T10:34:36,XRP,36893488147422507882,1.3111,1.3111,0.0,1774953241,1774953274.9829664,1774953276.1087558,33.983,35.109,1125.8,poll
2026-03-31T10:34:37,SOL,36893488147423038161,80.68047,80.68047,0.0,1774953275,1774953277.3342052,1774953276.1087558,2.334,1.109,-1225.4,ws
2026-03-31T10:34:38,XRP,36893488147422507883,1.31077,1.31077,0.0,1774953275,1774953277.337378,1774953278.260637,2.337,3.261,923.3,poll
2026-03-31T10:34:39,ETH,55340232221132099757,2022.62492,2022.62492,0.0,1774953277,1774953279.6915703,1774953279.7967877,2.692,2.797,105.2,poll
2026-03-31T10:34:58,BTC,55340232221132071828,66268.56476,66268.56476,0.0,1774953295,1774953298.534897,1774953298.3201547,3.535,3.32,-214.7,ws
2026-03-31T10:35:17,ETH,55340232221132099758,2023.1296,2023.1296,0.0,1774953311,1774953317.1696925,1774953316.1517413,6.17,5.152,-1018.0,ws
2026-03-31T10:35:17,XRP,36893488147422507884,1.31057471,1.31057471,0.0,1774953307,1774953317.1740103,1774953317.781785,10.174,10.782,607.8,poll
2026-03-31T10:35:17,SOL,36893488147423038162,80.69252,80.69252,0.0,1774953307,1774953317.9889638,1774953316.1517413,10.989,9.152,-1837.2,ws
2026-03-31T10:36:41,BTC,55340232221132071831,66254.14,66254.14,0.0,1774953395,1774953399.3807466,1774953401.4245112,4.381,6.425,2043.8,poll
2026-03-31T10:36:41,SOL,36893488147423038164,80.68578493,80.68578493,0.0,1774953383,1774953399.8073542,1774953401.4245112,16.807,18.425,1617.2,poll
2026-03-31T10:36:41,XRP,36893488147422507886,1.3098555,1.3098555,0.0,1774953373,1774953399.4217584,1774953401.4245112,26.422,28.425,2002.8,poll
2026-03-31T10:36:46,ETH,55340232221132099760,2022.76837,2022.76837,0.0,1774953375,1774953399.3791883,1774953406.7701395,24.379,31.77,7391.0,poll
2026-03-31T10:36:49,XRP,36893488147422507887,1.30938101,1.30938101,0.0,1774953407,1774953409.7374692,1774953409.8480985,2.737,2.848,110.6,poll
2026-03-31T10:36:52,ETH,55340232221132099761,2022.33214655,2022.33214655,0.0,1774953409,1774953412.0977867,1774953411.7761333,3.098,2.776,-321.7,ws
2026-03-31T10:37:16,SOL,36893488147423038165,80.666991,80.666991,0.0,1774953425,1774953434.0092065,1774953436.57511,9.009,11.575,2565.9,poll
2026-03-31T10:37:18,BTC,55340232221132071832,66308.01672032,66308.01672032,0.0,1774953429,1774953438.0012643,1774953436.57511,9.001,7.575,-1426.2,ws
2026-03-31T10:37:25,ETH,55340232221132099762,2023.08462834,2023.08462834,0.0,1774953441,1774953445.2490473,1774953443.9457684,4.249,2.946,-1303.3,ws
2026-03-31T10:37:25,XRP,36893488147422507888,1.30995219,1.30995219,0.0,1774953439,1774953445.5864987,1774953440.0340524,6.586,1.034,-5552.4,ws
2026-03-31T10:37:46,BTC,55340232221132071833,66267.15979729,66267.15979729,0.0,1774953461,1774953466.1627607,1774953465.9303763,5.163,4.93,-232.4,ws
2026-03-31T10:37:46,SOL,36893488147423038166,80.61660306,80.61660306,0.0,1774953461,1774953466.55309,1774953464.0172572,5.553,3.017,-2535.8,ws
2026-03-31T10:37:55,XRP,36893488147422507889,1.30963317,1.30963317,0.0,1774953473,1774953475.9922314,1774953475.802476,2.992,2.802,-189.8,ws
2026-03-31T10:37:57,ETH,55340232221132099763,2022.9340185,2022.9340185,0.0,1774953475,1774953477.8449805,1774953477.8955579,2.845,2.896,50.6,poll
2026-03-31T10:38:16,BTC,55340232221132071834,66267.39263061,66267.39263061,0.0,1774953495,1774953496.267329,1774953496.3146381,1.267,1.315,47.3,poll
2026-03-31T10:38:16,SOL,36893488147423038167,80.579859,80.579859,0.0,1774953493,1774953496.5827107,1774953496.3146381,3.583,3.315,-268.1,ws
2026-03-31T10:38:30,XRP,36893488147422507890,1.30944,1.30944,0.0,1774953505,1774953510.8064427,1774953509.9612494,5.806,4.961,-845.2,ws
2026-03-31T10:38:32,ETH,55340232221132099764,2022.58060296,2022.58060296,0.0,1774953509,1774953512.6509163,1774953511.7363398,3.651,2.736,-914.6,ws
